URL,Type,Subtype,Price,Bedroom,Living_area,Locality,Swimming_pool,Garden_area,Surface_of_land,Terrace,Kitchen
https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/10653822,house,mansion,1950000,6,497.0,1000,False,40,242,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/9893520,house,house,465000,4,229.0,1000,False,,110,True,hyper equipped
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/9402335,house,mixed use building,1200000,3,568.0,1000,False,,196,True,installed
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10652783,house,mixed use building,385000,1,80.0,1000,False,,27,True,installed
https://www.immoweb.be/en/classified/mansion/for-sale/bruxelles/1000/10492906,house,mansion,990000,10,300.0,1000,False,40,200,True,usa hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10280075,house,house,325000,1,77.0,1000,False,,88,True,usa hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%20ville/1000/10596897,house,house,375000,4,110.0,1000,False,,26,True,not installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10488148,house,apartment block,849000,5,230.0,1000,False,,230,True,hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10641195,house,house,580000,4,179.0,1000,False,,80,True,installed
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10573731,house,house,250000,4,75.0,1000,False,,17,True,installed
https://www.immoweb.be/en/classified/house/for-sale/brussels%20city/1000/10621573,house,house,749000,7,250.0,1000,False,30,111,True,semi equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10571543,house,apartment block,1950000,10,550.0,1000,False,,106,True,usa semi equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10663647,house,apartment block,1500000,4,420.0,1000,False,30,0,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10433751,house,house,420000,2,102.0,1000,False,,30,True,usa hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10541138,house,house,575000,5,220.0,1000,False,48,120,True,hyper equipped
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10393289,house,apartment block,670000,5,234.0,1000,False,30,100,True,usa installed
https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/10540761,house,house,1290000,4,700.0,1000,False,,339,True,
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10326532,house,mixed use building,1299000,5,526.0,1000,False,,105,True,usa hyper equipped
https://www.immoweb.be/en/classified/mixed-use-building/for-sale/bruxelles/1000/10641187,house,mixed use building,675000,7,300.0,1000,False,,0,True,installed
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10655471,house,house,595000,4,293.0,1000,False,70,245,True,usa hyper equipped
https://www.immoweb.be/en/classified/exceptional-property/for-sale/brussels%20city/1000/10654308,house,exceptional property,960000,6,353.0,1000,False,290,1090,True,usa hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%20ville/1000/10519833,house,house,2200000,4,276.0,1000,False,50,136,True,hyper equipped
https://www.immoweb.be/en/classified/villa/for-sale/brussels%20city/1000/10604379,house,villa,2990000,5,500.0,1000,False,,12387,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10650067,house,apartment block,645000,5,353.0,1000,False,35,0,True,usa installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10646560,house,apartment block,3600000,14,946.0,1000,False,20,565,True,usa hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10492935,house,house,410000,2,100.0,1000,False,,109,True,usa hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/bruxelles/1000/10388903,house,house,550000,2,82.0,1000,False,,0,True,usa installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10589429,house,apartment block,625000,6,350.0,1000,False,200,411,True,
https://www.immoweb.be/en/classified/house/for-sale/bruxelles%20ville/1000/10545252,house,house,795000,6,279.0,1000,False,,98,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/bruxelles/1000/10100295,house,apartment block,825000,5,255.0,1000,False,30,107,True,usa installed
https://www.immoweb.be/en/classified/house/for-sale/lebbeke/9280/10665736,house,house,398000,3,198.0,9280,False,112,483,True,installed
https://www.immoweb.be/en/classified/villa/for-sale/laarne/9270/10665726,house,villa,2370000,4,650.0,9270,True,,5513,True,hyper equipped
https://www.immoweb.be/en/classified/house/for-sale/rijkevorsel/2310/10665716,house,house,389000,3,220.0,2310,False,690,963,True,
https://www.immoweb.be/en/classified/house/for-sale/heers/3870/10665713,house,house,389000,3,205.0,3870,False,,606,True,installed
https://www.immoweb.be/en/classified/apartment-block/for-sale/hasselt/3500/10665712,house,apartment block,285000,3,120.0,3500,False,,0,True,installed
https://www.immoweb.be/en/classified/apartment/for-sale/sint-truiden/3800/10665711,apartment,apartment,199000,2,73.0,3800,False,,,True,installed
https://www.immoweb.be/en/classified/house/for-sale/beersel/1650/10665710,house,house,285000,3,154.0,1650,False,,687,True,
https://www.immoweb.be/en/classified/apartment-block/for-sale/essenbeek/1500/10665701,house,apartment block,450000,3,203.0,1500,False,110,330,True,installed
https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10665700,apartment,apartment,275000,2,79.0,1180,False,,,True,semi equipped
https://www.immoweb.be/en/classified/apartment/for-sale/bruxelles/1000/10665699,apartment,apartment,295000,1,94.0,1000,False,,,True,usa hyper equipped
https://www.immoweb.be/en/classified/penthouse/for-sale/bredene/8450/10665696,apartment,penthouse,229000,1,95.0,8450,False,,,True,semi equipped
https://www.immoweb.be/en/classified/house/for-sale/haillot/5351/10665689,house,house,309000,3,130.0,5351,False,,1980,True,
https://www.immoweb.be/en/classified/house/for-sale/marcinelle/6001/10665685,house,house,209000,3,150.0,6001,False,225,225,True,installed
https://www.immoweb.be/en/classified/house/for-sale/soli%C3%88res/4500/10665684,house,house,349000,4,238.0,4500,False,,1280,True,installed
